Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,year
436,Reggie Jackson,34,PHI,PG,31,1,12.4,1.7,4.3,.391,0.8,2.4,.338,0.9,1.9,.458,.485,0.2,0.3,.778,0.3,1.1,1.4,1.5,0.5,0.1,0.5,1.1,4.4,,2025
437,Pat Connaughton,32,MIL,SG,30,0,15.0,1.6,3.8,.425,0.7,2.1,.323,0.9,1.7,.549,.513,0.4,0.6,.765,0.6,2.2,2.7,1.7,0.2,0.3,0.6,1.1,4.3,,2025
438,Paul Reed,25,DET,C,30,0,9.9,1.7,3.2,.531,0.2,0.7,.300,1.5,2.5,.592,.563,0.7,0.9,.815,0.9,1.7,2.6,1.0,1.0,0.6,0.5,1.7,4.3,,2025
439,Daniel Theis,32,NOP,C,38,9,16.3,1.6,3.4,.473,0.2,1.0,.243,1.4,2.4,.565,.508,0.8,1.0,.838,1.2,3.2,4.3,1.6,0.5,0.5,0.7,1.8,4.3,,2025
440,Julian Phillips,21,CHI,SF,53,3,12.8,1.5,3.3,.446,0.6,1.8,.326,0.9,1.5,.585,.534,0.6,0.9,.723,0.8,1.1,1.9,0.4,0.4,0.2,0.4,1.3,4.2,,2025
441,Antonio Reeves,24,NOP,SG,24,0,10.6,1.6,4.0,.402,0.7,2.1,.314,1.0,1.9,.500,.485,0.3,0.3,.875,0.4,0.8,1.2,0.8,0.4,0.0,0.3,0.5,4.2,,2025
442,Jock Landale,29,HOU,C,27,0,10.7,1.6,3.3,.483,0.2,0.4,.500,1.4,2.9,.481,.517,0.7,1.1,.667,1.4,1.9,3.3,0.9,0.2,0.3,0.5,1.0,4.1,,2025
443,Kris Murray,24,POR,SF,45,1,13.6,1.7,3.7,.455,0.4,1.5,.279,1.2,2.2,.577,.512,0.4,0.8,.421,1.0,1.2,2.2,0.9,0.4,0.2,0.5,0.9,4.1,,2025
444,Kyle Lowry,38,PHI,PG,33,12,18.9,1.2,3.4,.351,0.8,2.5,.337,0.3,0.8,.393,.477,0.8,1.0,.818,0.3,1.6,2.0,2.8,0.9,0.3,0.6,1.8,4.0,,2025
445,Dariq Whitehead,20,BRK,SF,9,0,6.3,1.3,2.8,.480,1.2,2.3,.524,0.1,0.4,.250,.700,0.1,0.3,.333,0.1,0.6,0.7,0.1,0.3,0.1,0.7,0.2,4.0,,2025
